matchId,teamId,laneOutcome,laneEventTimestampMs,laneEventTimestampMin,adc_kills,adc_deaths,support_kills,support_deaths,support_wardsPlaced,jungle_kills,jungle_deaths,team_hordeKills,team_dragonKills
KR_8348539655,100,LOSE,980154,16.34,5,7,5,1,13,2,0,3,0
KR_8348539655,200,WIN,980154,16.34,4,5,2,4,11,1,1,0,2
KR_8347432922,100,LOSE,913423,15.22,1,4,0,4,49,7,1,3,0
KR_8347432922,200,WIN,913423,15.22,4,1,0,0,41,6,2,0,1
KR_8351392547,100,WIN,835840,13.93,2,1,8,0,13,5,1,3,1
KR_8351392547,200,LOSE,835840,13.93,0,3,0,5,6,1,4,0,0
KR_8351330946,100,WIN,1039131,17.32,4,2,1,4,47,1,3,2,1
KR_8351330946,200,LOSE,1039131,17.32,0,2,1,1,18,6,2,0,1
KR_8347495222,100,WIN,913655,15.23,3,4,0,3,16,3,1,3,0
KR_8347495222,200,LOSE,913655,15.23,3,4,4,0,22,3,1,0,2
KR_8347445945,100,LOSE,851429,14.19,2,2,2,4,46,0,3,2,0
KR_8347445945,200,WIN,851429,14.19,3,1,0,3,7,6,0,1,1
KR_8347384697,100,WIN,549600,9.16,2,1,1,2,5,2,1,3,0
KR_8347384697,200,LOSE,549600,9.16,0,3,0,3,3,2,1,0,0
KR_8347341610,100,LOSE,713716,11.9,1,1,0,1,8,2,1,0,0
KR_8347341610,200,WIN,713716,11.9,2,0,0,1,7,1,1,3,1
KR_8347302504,100,LOSE,702892,11.71,1,4,0,6,7,6,2,0,0
KR_8347302504,200,WIN,702892,11.71,7,2,4,2,13,1,2,3,2
KR_8346890322,100,LOSE,821340,13.69,0,6,1,6,7,3,2,3,0
KR_8346890322,200,WIN,821340,13.69,10,1,1,1,9,3,1,0,1
KR_8349890382,100,LOSE,880239,14.67,4,2,1,3,9,6,2,3,0
KR_8349890382,200,WIN,880239,14.67,4,2,0,4,17,5,2,0,1
KR_8349872070,100,WIN,725023,12.08,4,1,0,1,11,4,0,3,1
KR_8349872070,200,LOSE,725023,12.08,0,4,0,2,33,3,2,0,0
KR_8349824447,100,WIN,773108,12.89,2,0,0,1,10,1,1,0,0
KR_8349824447,200,LOSE,773108,12.89,0,3,0,1,32,2,0,3,1
KR_8349718982,100,LOSE,870225,14.5,2,7,1,4,24,3,9,0,0
KR_8349718982,200,WIN,870225,14.5,7,2,1,3,10,11,3,3,1
