matchId,teamId,win,adc_championName,adc_masteryPoints,adc_masteryLevel,support_championName,support_masteryPoints,support_masteryLevel
KR_8354067237,200,True,Kaisa,36319,6,Shen,85648,10
KR_8354013848,100,True,Xerath,1351723,126,Rakan,8789,3
KR_8354013848,200,False,Ezreal,504161,48,Camille,9849,3
KR_8352985524,100,False,Jhin,22876,5,Bard,417008,41
KR_8352985524,200,True,Xerath,1351723,126,Alistar,357187,35
KR_8352810594,100,False,Xerath,1351723,126,Alistar,38412,6
KR_8352810594,200,True,Zeri,129271,14,Rell,29127,5
KR_8351196091,100,False,Jhin,112058,13,Karma,19680,4
KR_8351196091,200,True,Ezreal,504161,48,Nautilus,54219,8
KR_8349638350,100,False,Jhin,509731,49,Poppy,325645,32
KR_8349638350,200,True,Xerath,1351723,126,Camille,65255,9
KR_8348580915,100,True,Xerath,1351723,126,Camille,151766,16
KR_8348580915,200,False,Zeri,204530,21,Bard,79599,10
KR_8346234872,100,False,Ambessa,1082528,101,Rell,90494,11
KR_8346234872,200,True,Xerath,1351723,126,Swain,3500,2
KR_8345105327,100,True,Xerath,1351723,126,Shen,15190,4
KR_8345105327,200,False,Viktor,12951,4,Elise,910153,85
KR_8343483841,100,False,Xerath,1351723,126,Rakan,76853,10
KR_8343483841,200,True,Viktor,22186,5,Rell,191930,20
KR_8341832607,100,False,Kaisa,70564,9,Bard,79599,10
KR_8341832607,200,True,Xerath,1351723,126,Shen,42725,7
KR_8340257866,100,False,Ezreal,1391375,129,Karma,172739,18
KR_8340257866,200,True,Kaisa,1163230,108,Nautilus,297768,30
KR_8339023557,100,False,Aphelios,685439,65,Senna,39896,6
KR_8339023557,200,True,Xerath,1351723,126,JarvanIV,6776,3
KR_8338266072,100,True,Ezreal,57174,8,Senna,39896,6
KR_8338266072,200,False,Xerath,1351723,126,Thresh,60345,8
KR_8354080458,100,False,KogMaw,23264,5,Milio,18716,4
KR_8354080458,200,True,Yunara,222084,23,Lulu,79493,10
KR_8354024737,100,False,Yasuo,50145,7,Pantheon,348979,34
KR_8354024737,200,True,Kaisa,385612,38,Alistar,6335,3
KR_8349742695,100,True,Jhin,509731,49,Ambessa,689966,65
KR_8349742695,200,False,Zeri,204530,21,Yuumi,5769,2
KR_8348575568,100,False,Ezreal,38559,6,Camille,69495,9
KR_8348575568,200,True,Viktor,174115,18,Poppy,485305,47
KR_8347485274,100,False,Xerath,1168539,108,Shen,46631,7
KR_8347485274,200,True,Ezreal,564351,54,Camille,49679,7
KR_8345296881,100,False,Kalista,160246,17,Poppy,67428,9
KR_8345296881,200,True,Ezreal,171271,18,Shen,59413,8
KR_8345284092,100,True,Syndra,16959,4,Thresh,42511,6
KR_8345284092,200,False,Corki,346175,34,Blitzcrank,14121,4
KR_8345251535,100,True,Corki,346175,34,Rell,166828,18
KR_8345251535,200,False,Ezreal,94501,11,Nautilus,408270,40
KR_8343513446,100,False,Jhin,159234,17,Bard,374806,37
KR_8343513446,200,True,Ezreal,1079305,101,Karma,49408,7
KR_8342914366,100,False,Kalista,239654,24,Blitzcrank,57957,8
KR_8342914366,200,True,Yunara,69650,9,Camille,19024,4
KR_8351456433,100,True,Ezreal,247777,25,Bard,417008,41
